UK SOC 2010 Code,Census Categories: Occupation,Occupation title,Exposure,Interaction,Location,Physical Activities,Tools/ Protective Equipment,Ability to homework score,Median hourly pay (£),Total in employment,Percentage of the workforce that are female(%),Percentage of the workforce that are aged 55+ (%),Percentage of the workforce that are BAME (%),% Working from home during Lockdown
4124,Administrative Occupations: Finance,Finance officers,0.08,0.34,0.06,0.14,0.14,0.76,13.68,36000,68.1,19.4,14.3,57.24
4129,Administrative Occupations: Finance,Financial administrative occupations n.e.c.,0.23,0.63,0.13,0.41,0.4,1.8,11.16,164000,70.1,16,14.2,57.24
4131,Administrative Occupations: Records,Records clerks and assistants,0.14,0.56,0.11,0.14,0.16,1.11,11.24,111000,76.6,13.6,10.6,57.24
4132,Administrative Occupations: Records,Pensions and insurance clerks and assistants,0.04,0.32,0.04,0.11,0.09,0.6,11.64,63000,68.7,12.5,8.9,57.24
4133,Administrative Occupations: Records,Stock control clerks and assistants,0.33,0.35,0.22,0.65,0.54,2.09,10.72,85000,40.3,17,7.7,57.24
4134,Administrative Occupations: Records,Transport and distribution clerks and assistants,0.1,0.39,0.23,0.16,0.37,1.25,11.87,59000,35.8,18.7,10.4,57.24
4135,Administrative Occupations: Records,Library clerks and assistants,0.18,0.48,0.09,0.4,0.29,1.44,10.42,24000,75.9,31.6,x,57.24
4138,Administrative Occupations: Records,Human resources administrative occupations,0.09,0.41,0.03,0.19,0.16,0.89,10.96,33000,79.3,12.4,14.6,57.24
4151,Other Administrative Occupations,Sales administrators,0.22,0.58,0.38,0.28,0.49,1.96,10.77,81000,72.5,11.9,10.7,57.24
4159,Other Administrative Occupations,Other administrative occupations n.e.c.,0.11,0.29,0.09,0.19,0.28,0.95,11.16,745000,78.2,18,8.4,57.24
4161,Administrative Occupations: Office Managers and Supervisors,Office managers,0.08,0.32,0.05,0.18,0.29,0.92,15.55,174000,74,19.6,6.5,57.24
4162,Administrative Occupations: Office Managers and Supervisors,Office supervisors,0.08,0.32,0.05,0.18,0.29,0.92,12.73,40000,48.8,11.2,11.5,57.24
4211,Secretarial and Related Occupations,Medical secretaries,0.14,0.3,0.01,0.17,0.16,0.78,11.56,69000,x,29.8,4.5,57.24
4212,Secretarial and Related Occupations,Legal secretaries,0.03,0.2,0.05,0.19,0.09,0.56,11.36,39000,x,24.4,3.8,57.24
4213,Secretarial and Related Occupations,School secretaries,0.05,0.3,0.04,0.12,0.3,0.82,10.28,67000,94.9,23.5,9.8,57.24
4214,Secretarial and Related Occupations,Company secretaries,0.03,0.21,0.12,0.09,0.06,0.51,11.51,31000,83.1,27.7,2.8,57.24
4215,Secretarial and Related Occupations,Personal assistants and other secretaries,0.05,0.3,0.04,0.12,0.3,0.82,12.21,174000,x,20.9,7.5,57.24
4216,Secretarial and Related Occupations,Receptionists,0.1,0.61,0.04,0.15,0.16,1.06,9.27,257000,89.7,23,9.6,57.24
4217,Secretarial and Related Occupations,Typists and related keyboard occupations,0.08,0.25,0,0.19,0.22,0.73,10.2,36000,63.9,17.9,7,57.24
5111,Agricultural and Related Trades,Farmers,0.53,0.15,0.83,0.57,0.74,2.81,11.4,125000,18.1,26.6,x,18.85
5112,Agricultural and Related Trades,Horticultural trades,0.6,0.37,0.83,0.62,0.81,3.23,8.85,18000,36.5,27.4,x,18.85
5113,Agricultural and Related Trades,Gardeners and landscape gardeners,0.6,0.37,0.83,0.62,0.81,3.23,10.27,173000,14.9,26.7,1.6,18.85
5114,Agricultural and Related Trades,Groundsmen and greenkeepers,0.6,0.37,0.83,0.62,0.81,3.23,9.94,26000,x,19.9,2.1,18.85
5119,Agricultural and Related Trades,Agricultural and fishing trades n.e.c.,0.6,0.18,0.78,0.59,0.82,2.98,10.56,35000,2.8,8.3,x,18.85
5211,"Metal Forming, Welding and Related Trades",Smiths and forge workers,0.67,0.17,0.43,0.61,0.89,2.77,x,5000,x,19.6,x,18.85
5212,"Metal Forming, Welding and Related Trades","Moulders, core makers and die casters",0.66,0.18,0.17,0.74,0.88,2.64,11.06,2000,x,51.5,x,18.85
5213,"Metal Forming, Welding and Related Trades",Sheet metal workers,0.84,0.31,0.5,0.87,0.97,3.49,12.49,15000,x,19.4,x,18.85
5214,"Metal Forming, Welding and Related Trades","Metal plate workers, and riveters",0.82,0.26,0.67,0.89,0.87,3.52,13.54,5000,x,13.1,x,18.85
5215,"Metal Forming, Welding and Related Trades",Welding trades,0.54,0.15,0.21,0.53,0.85,2.27,12.39,61000,3.3,16.7,5.2,18.85
5216,"Metal Forming, Welding and Related Trades",Pipe fitters,0.94,0.35,0.65,0.97,0.93,3.85,17.57,5000,x,23,x,18.85
5221,"Metal Machining, Fitting and Instrument Making Trades",Metal machining setters and setter-operators,0.59,0.13,0.17,0.55,0.85,2.29,13.02,52000,5.1,20.6,6.7,18.85
5222,"Metal Machining, Fitting and Instrument Making Trades","Tool makers, tool fitters and markers-out",0.54,0.2,0.3,0.51,0.83,2.39,14.17,11000,x,33,x,18.85
5223,"Metal Machining, Fitting and Instrument Making Trades",Metal working production and maintenance fitters,0.88,0.28,0.74,0.81,0.99,3.71,14.77,222000,2.4,21.2,4.5,18.85
5224,"Metal Machining, Fitting and Instrument Making Trades",Precision instrument makers and repairers,0.43,0.3,0.27,0.32,0.7,2.02,12.24,23000,9.9,18,4.4,18.85
5225,"Metal Machining, Fitting and Instrument Making Trades",Air-conditioning and refrigeration engineers,0.76,0.43,0.7,0.76,0.93,3.58,14.22,16000,x,18.4,x,18.85
5231,Vehicle Trades,"Vehicle technicians, mechanics and electricians",0.68,0.3,0.7,0.72,0.88,3.27,12.5,171000,1.3,12.6,6.1,18.85
5232,Vehicle Trades,Vehicle body builders and repairers,0.71,0.3,0.66,0.75,0.9,3.32,12.48,27000,x,17.5,4.6,18.85
5234,Vehicle Trades,Vehicle paint technicians,0.6,0.14,0.18,0.76,0.96,2.64,12.32,13000,x,11.1,x,18.85
5235,Vehicle Trades,Aircraft maintenance and related trades,0.67,0.39,0.68,0.56,0.9,3.19,19.32,28000,7.5,19.9,3.5,18.85
5236,Vehicle Trades,Boat and ship builders and repairers,0.88,0.28,0.74,0.81,0.99,3.71,13.81,17000,1.2,23.7,10.7,18.85
5237,Vehicle Trades,Rail and rolling stock builders and repairers,0.88,0.28,0.74,0.81,0.99,3.71,x,12000,x,19.5,32,18.85
5241,Electrical and Electronic Trades,Electricians and electrical fitters,0.77,0.39,0.61,0.94,0.92,3.63,15.25,245000,1.8,14.3,5.6,18.85
5242,Electrical and Electronic Trades,Telecommunications engineers,0.21,0.07,0.13,0.19,0.4,1,16.64,55000,6.5,11.2,13.4,18.85
5244,Electrical and Electronic Trades,"TV, video and audio engineers",0.51,0.24,0.45,0.52,0.77,2.5,15.51,9000,x,20.4,x,18.85
5245,Electrical and Electronic Trades,IT engineers,0.6,0.34,0.63,0.66,0.81,3.03,15.04,35000,3.6,11.9,18.9,18.85
5249,Electrical and Electronic Trades,Electrical and electronic trades n.e.c.,0.51,0.24,0.45,0.52,0.77,2.5,15.55,78000,2.5,19.3,8.9,18.85
5250,"Skilled Metal, Electrical and Electronic Trades Supervisors","Skilled metal, electrical and electronic trades supervisors",0.47,0.32,0.35,0.49,0.7,2.33,16.27,37000,7.8,22.4,4.9,18.85
5311,Construction and Building Trades,Steel erectors,0.82,0.26,0.67,0.89,0.87,3.52,12.41,7000,x,x,x,18.85
5312,Construction and Building Trades,Bricklayers and masons,1,0.35,0.67,0.98,0.9,3.9,13.33,72000,x,16.8,1.5,18.85
5313,Construction and Building Trades,"Roofers, roof tilers and slaters",0.87,0.41,0.68,0.97,0.89,3.82,11.84,53000,x,12.3,1.9,18.85
5314,Construction and Building Trades,Plumbers and heating and ventilating engineers,0.94,0.35,0.65,0.97,0.93,3.85,14.74,174000,1.4,18.6,6,18.85
5315,Construction and Building Trades,Carpenters and joiners,0.75,0.37,0.68,1,0.87,3.67,13.18,224000,1.2,15.8,3,18.85
5316,Construction and Building Trades,"Glaziers, window fabricators and fitters",0.78,0.37,0.83,0.77,0.82,3.58,10.07,38000,x,19.5,4.2,18.85
5319,Construction and Building Trades,Construction and building trades n.e.c.,0.4,0.27,0.51,0.39,0.38,1.95,12.42,247000,4.5,19,5.7,18.85
5321,Building Finishing Trades,Plasterers,0.57,0.25,0.47,0.89,0.71,2.89,13.39,48000,x,15.3,3.5,18.85
5322,Building Finishing Trades,Floorers and wall tilers,0.57,0.23,0.25,0.79,0.71,2.55,11.5,33000,x,14.1,2,18.85
5323,Building Finishing Trades,Painters and decorators,0.53,0.29,0.39,0.99,0.78,2.97,11.69,124000,5.1,27.7,2.3,18.85
5330,Construction and Building Trades Supervisors,Construction and building trades supervisors,0.64,0.42,0.75,0.67,0.75,3.23,16.18,65000,1.4,20.5,7.4,18.85
5411,Textiles and Garments Trades,Weavers and knitters,0.43,0.16,0.09,0.37,0.43,1.48,10.54,2000,67.9,37.9,x,18.85
5412,Textiles and Garments Trades,Upholsterers,0.41,0.32,0.08,0.7,0.7,2.21,11.69,13000,14.7,38.1,12.9,18.85
5413,Textiles and Garments Trades,Footwear and leather working trades,0.43,0.16,0.09,0.37,0.43,1.48,10.15,5000,44.8,43.2,x,18.85
